id,jenis_kelamin,divisi,umur,tanggal,lokasi_dominan
1,Laki-laki,Customer Service,34,2019-05-21,Jakarta Pusat
1,Laki-laki,Customer Service,34,2019-05-22,Jakarta Pusat
1,Laki-laki,Customer Service,34,2019-05-23,Jakarta Pusat
1,Laki-laki,Customer Service,34,2019-05-24,Kota Bekasi
1,Laki-laki,Customer Service,34,2019-05-25,Kota Bekasi
1,Laki-laki,Customer Service,34,2019-05-26,Kota Medan
1,Laki-laki,Customer Service,34,2019-05-27,Kota Bekasi
1,Laki-laki,Customer Service,34,2019-05-28,Kota Padang
1,Laki-laki,Customer Service,34,2019-05-29,Kota Padang
1,Laki-laki,Customer Service,34,2019-05-30,Kota Padang
1,Laki-laki,Customer Service,34,2019-05-31,Kota Padang
1,Laki-laki,Customer Service,34,2019-06-01,Kota Padang
1,Laki-laki,Customer Service,34,2019-06-02,Kota Padang
1,Laki-laki,Customer Service,34,2019-06-03,Kota Padang
1,Laki-laki,Customer Service,34,2019-06-04,Kota Padang
1,Laki-laki,Customer Service,34,2019-06-05,Kota Padang
1,Laki-laki,Customer Service,34,2019-06-06,Kota Padang
1,Laki-laki,Customer Service,34,2019-06-07,Kota Padang
1,Laki-laki,Customer Service,34,2019-06-08,Kota Padang
1,Laki-laki,Customer Service,34,2019-06-09,Kota Padang
1,Laki-laki,Customer Service,34,2019-06-10,Kota Padang
1,Laki-laki,Customer Service,34,2019-06-11,Kota Bekasi
1,Laki-laki,Customer Service,34,2019-06-12,Kota Bekasi
1,Laki-laki,Customer Service,34,2019-06-13,Jakarta Pusat
1,Laki-laki,Customer Service,34,2019-06-14,Jakarta Pusat
1,Laki-laki,Customer Service,34,2019-06-15,Jakarta Pusat
2,Laki-laki,Data Engineer,26,2019-05-21,Kabupaten Bogor
2,Laki-laki,Data Engineer,26,2019-05-22,Kabupaten Bogor
2,Laki-laki,Data Engineer,26,2019-05-23,Jakarta Selatan
2,Laki-laki,Data Engineer,26,2019-05-24,Kabupaten Bogor
2,Laki-laki,Data Engineer,26,2019-05-25,Kabupaten Bogor
2,Laki-laki,Data Engineer,26,2019-05-26,Kabupaten Bogor
2,Laki-laki,Data Engineer,26,2019-05-27,Kabupaten Bogor
2,Laki-laki,Data Engineer,26,2019-05-28,Kabupaten Bogor
2,Laki-laki,Data Engineer,26,2019-05-29,Jakarta Timur
2,Laki-laki,Data Engineer,26,2019-05-30,Kota Manado
